time_bucket,diff_bucket,sample_size,up_win_rate,down_win_rate,up_intercept,up_slope_price,up_slope_time,down_intercept,down_slope_price,down_slope_time
3-6m,"(-260, -240]",3021,0.028467394902350215,0.9715326050976498,0.44194653785476234,0.0022126921322873833,0.0005096152815365705,0.5580534621452377,-0.0022126921322873833,-0.0005096152815365705
3-6m,"(220, 240]",2775,0.9751351351351352,0.024864864864864833,1.1516261211264671,-0.00039520220379690913,-0.0003131077039263158,-0.15162612112646712,0.00039520220379690913,0.0003131077039263158
3-6m,"(-280, -260]",2691,0.005202526941657376,0.9947974730583427,0.00019379325312209774,9.274172336155068e-05,0.00011298441619998493,0.9998062067468779,-9.274172336155068e-05,-0.00011298441619998493
3-6m,"(240, 260]",2406,0.9750623441396509,0.02493765586034913,0.8583442878345537,0.0007280686565343997,-0.00023589592628247278,0.14165571216544626,-0.0007280686565343997,0.00023589592628247278
3-6m,"(-300, -280]",2156,0.004174397031539889,0.9958256029684601,-0.012265702818791595,-8.464736760343617e-07,5.867748100111277e-05,1.0122657028187916,8.464736760343617e-07,-5.867748100111277e-05
3-6m,"(260, 280]",1790,0.9692737430167597,0.030726256983240274,0.6096680083883285,0.0016882347470542581,-0.0003539111814058059,0.39033199161167154,-0.0016882347470542581,0.0003539111814058059
3-6m,"(-320, -300]",1660,0.0024096385542168677,0.9975903614457832,-0.13955163948092222,-0.00038321636028473675,8.68091503541879e-05,1.1395516394809222,0.00038321636028473675,-8.68091503541879e-05
3-6m,"(300, 320]",1623,0.9919901417128774,0.00800985828712264,0.9202424711478853,0.0002214948870800568,1.139874847884428e-05,0.07975752885211473,-0.0002214948870800568,-1.139874847884428e-05
3-6m,"(280, 300]",1343,0.9731943410275503,0.026805658972449686,0.6887960123539766,0.0008452863651799712,0.00014126191032369186,0.3112039876460234,-0.0008452863651799712,-0.00014126191032369186
3-6m,"(320, 340]",1339,0.9902912621359223,0.009708737864077666,0.9084902394908471,0.00035627030078776975,-0.0001406044194711667,0.09150976050915294,-0.00035627030078776975,0.0001406044194711667
3-6m,"(-340, -320]",1250,0.0008,0.9992,0.017572102874458984,7.628599540875787e-05,3.186956384817984e-05,0.982427897125541,-7.628599540875787e-05,-3.186956384817984e-05
3-6m,"(340, 360]",1154,0.9922010398613518,0.0077989601386482255,0.7263584474003987,0.0009370810150719366,-0.00023988495581830623,0.2736415525996013,-0.0009370810150719366,0.00023988495581830623
3-6m,"(-360, -340]",976,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
3-6m,"(360, 380]",863,0.9976825028968713,0.002317497103128674,0.8379045367202713,0.0004889082014500865,-7.735259546509687e-05,0.16209546327972868,-0.0004889082014500865,7.735259546509687e-05
3-6m,"(-380, -360]",832,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
3-6m,"(380, 400]",802,1.0,0.0,1.0000000000000056,-5.869016657398616e-18,-9.047064879527707e-19,-5.551115123125783e-15,5.869016657398616e-18,9.047064879527707e-19
3-6m,"(400, 420]",718,1.0,0.0,1.0000000000000064,-2.3131650036052128e-17,-6.314905544569735e-20,-6.439293542825908e-15,2.3131650036052128e-17,6.314905544569735e-20
3-6m,"(420, 440]",710,1.0,0.0,0.9999999999999967,9.736713511935882e-18,1.9998182222295376e-18,3.3306690738754696e-15,-9.736713511935882e-18,-1.9998182222295376e-18
3-6m,"(-400, -380]",707,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
3-6m,"(440, 460]",593,1.0,0.0,1.00000000000001,-1.9438666576713765e-17,7.858316442294455e-19,-9.992007221626409e-15,1.9438666576713765e-17,-7.858316442294455e-19
3-6m,"(-420, -400]",556,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
6-9m,"(-20, 0]",22621,0.4625348127845807,0.5374651872154192,0.40845649265895817,0.006132829358651847,0.0002516788586615056,0.5915435073410418,-0.006132829358651847,-0.0002516788586615056
6-9m,"(0, 20]",21454,0.5251701314440198,0.4748298685559802,0.4026030670830887,0.008606089314149808,8.407411723243552e-05,0.5973969329169113,-0.008606089314149808,-8.407411723243552e-05
